exploitation_type,means_of_control,raw_positive,raw_observed,empirical_rate,posterior_pooled_mean,predicted_positive_mean,predicted_rate_mean,abs_error_rate,hdi_3_pct,hdi_97_pct
forced_labour,debt_bondage,641,715,0.8965034965034965,0.8960915530150724,640.8353333333333,0.8962731934731935,0.00023030303030302512,0.875417498903938,0.9181137818941865
forced_labour,takes_earnings,1726,1796,0.9610244988864143,0.9608527268856968,1725.8078333333333,0.9609175018559762,0.00010699703043803854,0.9527044717840559,0.9696316751227431
forced_labour,restricts_financial_access,0,78,0.0,0.012633959938001886,0.9876666666666667,0.012662393162393162,0.012662393162393162,1.8058491370588463e-06,0.035068060275898004
forced_labour,threats,1384,1428,0.969187675070028,0.9689235223198649,1383.6318333333334,0.9689298552754435,0.00025781979458450177,0.9603462341857774,0.9778397805279737
forced_labour,psychological_abuse,1717,1777,0.9662352279122116,0.9660704022313641,1716.694,0.9660630275745639,0.00017220033764775433,0.9583659291697746,0.9742771392375692
forced_labour,physical_abuse,1035,1102,0.9392014519056261,0.9389560211411941,1034.7155,0.9389432849364792,0.0002581669691469335,0.92518463478219,0.9528086399810537
forced_labour,sexual_abuse,30,105,0.2857142857142857,0.2912279371555753,30.566333333333333,0.2911079365079365,0.005393650793650784,0.2174003186855371,0.37380689527768757
forced_labour,false_promises,1909,1961,0.9734829168791433,0.9733108103163516,1908.6833333333334,0.9733214346421893,0.00016148223695400254,0.9668181897188732,0.9798995984082935
forced_labour,psychoactive_substances,45,122,0.36885245901639346,0.3724058770296787,45.37916666666667,0.3719603825136612,0.0031079234972677394,0.28584377900886193,0.45129262279133847
forced_labour,restricts_movement,1629,1685,0.9667655786350149,0.966495947505795,1628.7013333333334,0.966588328387735,0.00017725024727988092,0.9584265572812042,0.9750212793394154
forced_labour,restricts_medical_care,971,1037,0.9363548698167792,0.9360972236364082,970.8233333333334,0.9361845065895211,0.00017036322725805242,0.921771144910316,0.9498135576679637
forced_labour,excessive_working_hours,1819,1843,0.9869777536625067,0.9867836353474586,1818.5881666666667,0.986754295532646,0.00022345812986068747,0.9819444469759576,0.9918778150704834
forced_labour,uses_children,0,0,0.0,0.7036413693266227,0.0,0.0,0.0,0.11895581327656074,0.9999999999999916
forced_labour,threat_law_enforcement,504,582,0.865979381443299,0.8657851390783171,503.64916666666664,0.8653765750286369,0.0006028064146621492,0.8391392077891149,0.8918629439542294
forced_labour,withholds_necessities,732,796,0.9195979899497487,0.9190431041139832,731.6123333333334,0.9191109715242881,0.0004870184254606169,0.901324468218539,0.9365864100113476
forced_labour,withholds_documents,1513,1575,0.9606349206349206,0.9604300974198973,1512.6091666666666,0.9603867724867725,0.0002481481481481085,0.9511631942082616,0.9702010764004086
sexual_exploit,debt_bondage,406,1494,0.2717536813922356,0.2720863678266171,406.3901666666667,0.27201483712628294,0.00026115573404733583,0.2505923974093623,0.29322585932830136
sexual_exploit,takes_earnings,786,1883,0.41741901221455124,0.4174609615494007,786.1278333333333,0.4174869003363427,6.788812179148174e-05,0.3950304078364728,0.4381258124112734
sexual_exploit,restricts_financial_access,115,175,0.6571428571428571,0.6546743287138946,114.46633333333334,0.6540933333333334,0.0030495238095237243,0.5882983713538571,0.718598050196403
sexual_exploit,threats,2242,3333,0.6726672667266727,0.6726184896060027,2242.3825,0.6727820282028203,0.0001147614761476401,0.6581746956433872,0.6886483490324284
sexual_exploit,psychological_abuse,2789,3876,0.7195562435500515,0.719415128117011,2788.355,0.7193898348813209,0.0001664086687306332,0.7053580999189107,0.7327574010776584
sexual_exploit,physical_abuse,2266,3365,0.6734026745913819,0.673264688675219,2265.3855,0.673220059435364,0.0001826151560179179,0.6575895786797369,0.687828429678998
sexual_exploit,sexual_abuse,1226,2329,0.5264061829111206,0.5264651617681784,1226.4628333333333,0.5266049091169314,0.00019872620581073974,0.5058114133107108,0.5451095204526246
sexual_exploit,false_promises,491,1455,0.33745704467353954,0.33756377736917464,491.4135,0.33774123711340204,0.0002841924398624962,0.314832676954495,0.360956415878109
sexual_exploit,psychoactive_substances,2070,3173,0.6523794516230697,0.6522858836561163,2069.7335,0.6522954617081625,8.398991490710106e-05,0.6356599414813189,0.6674275626244884
sexual_exploit,restricts_movement,2410,3493,0.6899513312338964,0.6898443955834799,2409.5036666666665,0.6898092375226643,0.00014209371123208303,0.67475086109925,0.7043558961142512
sexual_exploit,restricts_medical_care,102,1194,0.08542713567839195,0.08604502604608934,102.4685,0.08581951423785596,0.0003923785594640017,0.07059227049143817,0.10132709552202879
sexual_exploit,excessive_working_hours,91,1171,0.07771135781383433,0.0782986340639007,91.6955,0.07830529461998292,0.0005939368061485956,0.06375541033604286,0.09325879432130589
sexual_exploit,uses_children,119,119,1.0,0.992335660333943,118.07483333333333,0.9922254901960784,0.007774509803921581,0.9770738404243974,0.9999996855220578
sexual_exploit,threat_law_enforcement,81,1186,0.06829679595278246,0.06894354999637962,81.67516666666667,0.06886607644744239,0.0005692804946599295,0.05578338365961171,0.08299487071898834
sexual_exploit,withholds_necessities,478,1569,0.30465264499681327,0.3049044359723678,478.18716666666666,0.30477193541533887,0.00011929041852559719,0.28317453884462523,0.3270993714227834
sexual_exploit,withholds_documents,284,1357,0.2092851879145173,0.20956464398996277,284.27366666666666,0.20948685826578237,0.00020167035126505972,0.18895831368287866,0.23007641312041316
