fiscal_year,observed_situations,estimated_base_trend,policy_shock_component,filtered_demand_residual
2013,4796.0,4569.309461,0.0,226.690539
2014,5166.0,5142.926071,0.0,23.073929
2015,5418.0,5973.247336,0.0,-555.247336
2016,7405.0,7345.971919,0.0,59.028081
2017,8686.0,8911.661258,0.0,-225.661258
2018,10658.0,10390.429439,0.339818,267.230743
2019,11852.0,11243.529805,0.339818,608.130377
2020,11193.0,11235.728509,0.339818,-43.068327
2021,10983.0,10826.070230,0.339818,156.589952
2022,10013.0,10421.131491,0.339818,-408.471309
2023,9877.0,10606.928431,0.339818,-730.268249
2024,12130.0,11505.554818,0.339818,624.105364
